티커,시가,고가,저가,종가,거래량,거래대금,등락률
278990,11000,11500,11000,11500,255,2905000,0.09
343090,1688,1688,1579,1668,754,1213726,0.24
112190,1630,1700,1500,1599,2791,4190415,-1.9
260870,29450,30200,29450,29800,15595,466220550,-0.67
296520,0,0,0,4400,0,0,-2.22
183410,0,0,0,1099,0,0,-0.09
076340,5600,5600,5550,5600,2701,15115750,3.13
243870,13500,13500,12700,12700,372,4865800,-5.93
456700,0,0,0,25000,0,0,0.0
244880,0,0,0,3305,0,0,-0.75
288490,55,57,52,57,896609,48481719,5.56
257990,5090,5090,4860,4865,148,737985,-3.85
317860,4995,5100,4995,5000,160,800750,-12.28
283100,3300,3435,3300,3430,13,44335,3.94
229500,0,0,0,20500,0,0,0.0
323350,0,0,0,10000,0,0,0.0
178600,0,0,0,2790,0,0,-1.41
114920,1648,1648,1648,1648,200,329600,9.5
302920,12500,12500,12500,12500,1,12500,-0.08
199150,5200,5200,5190,5190,101,524560,-0.19
227420,0,0,0,904,0,0,0.0
176750,5610,5610,5490,5500,4753,26351760,-2.48
163430,0,0,0,4010,0,0,0.0
403360,9970,9970,9030,9490,123,1156860,-4.43
092590,1195,1195,1195,1195,1,1195,-7.94
179720,0,0,0,8600,0,0,0.0
238500,800,878,800,858,297431,252075318,7.25
223220,400,429,384,384,1058,408438,-14.86
162120,4690,4885,4685,4830,1021,4802130,1.79
253610,1455,1943,1455,1700,21,31288,0.0
448780,2250,2380,2185,2370,112,251780,4.18
200580,11100,11100,11100,11100,157,1742700,0.0
233250,0,0,0,13570,0,0,-3.0
236340,3650,3650,3500,3645,74,268185,-1.35
322970,2665,2665,2505,2585,10,25945,-3.18
208890,0,0,0,1299,0,0,0.0
351020,0,0,0,5900,0,0,0.0
354390,7020,8040,6000,6000,212,1285480,-14.29
266470,494,494,370,428,4948,1979985,-0.47
289170,3065,3065,2950,2950,1205,3575325,-3.75
199290,0,0,0,1303,0,0,0.0
322190,135,135,106,106,402,42641,-14.52
206950,0,0,0,2135,0,0,0.0
191600,0,0,0,11470,0,0,0.0
086220,2500,2500,2400,2500,13,31400,0.0
266170,795,849,700,785,32,24584,1.95
012210,1146,1146,999,999,21,21284,0.0
258250,2900,2945,2875,2935,1355,3907630,0.17
185190,879,879,755,848,111,94250,-3.53
217320,0,0,0,2800,0,0,3.7
236030,0,0,0,3995,0,0,0.0
103660,2200,2370,1951,2185,1586,3265425,-4.38
245450,1700,1700,1700,1700,1,1700,0.12
286000,0,0,0,3050,0,0,0.0
456570,8000,8000,6000,6940,2889,19221660,-0.72
447690,4200,4200,4200,4200,1,4200,-2.1
149010,7900,7900,7810,7810,2,15710,-1.76
149300,526,526,517,517,2339,1215730,-1.71
102950,4020,4170,4000,4070,5956,24103625,0.37
251280,8000,8200,7910,8200,4115,32861660,0.12
390110,3985,3985,3985,3985,11,43835,0.0
224810,3225,3395,3225,3395,2500,8185090,1.34
270210,0,0,0,3640,0,0,-0.41
258540,820,820,799,799,643,525278,-3.03
299670,0,0,0,1800,0,0,0.0
217910,428,428,428,428,10,4280,0.0
224020,808,808,797,797,91,72538,12.57
311960,10500,10500,9870,10430,70,732050,2.25
234070,0,0,0,1359,0,0,-14.96
044990,17170,17250,16750,17150,43614,762064750,0.12
207490,0,0,0,6720,0,0,0.0
